Дата;Базовый уровень;Изменение кол-ва магазинов;Развитие ecom;Уход конкурентов;Мобилизация;Скидки;COVID;Черная пятница;Площадь магазинов;Праздничные открытия;Праздничные открытия - блогеры;Изменение цен;SMS;Реклама GJ;Реклама конкурентов;COVID - Самоизоляция и закрытие магазинов;Отложенный спрос после самоизоляции
2022_41;1745602,684;356591,9879;-705956,302;294942,2089;-27684,06296;214617,7867;-162764,7748;0;370,3776545;0,023704986;0;-556842,1614;1,12671E-08;66966,25519;-117447,7979;0;0
2022_42;1720873,879;361584,3948;-701410,0507;292173,152;-27424,15188;279085,7537;-161236,6622;0;381,3190706;0,004696486;0;-513882,8989;74214,93839;71308,5832;-98657,42332;0;0
2022_43;1494503,191;314020,1258;-610910,3717;253739,5177;-21831,94602;256877,2263;-140026,9416;0;307,479693;0,000815738;0;-426932,4337;64452,40619;88482,13561;-80861,09689;0;0
2022_44;1502776,339;281787,99;-553998,1217;226159,7074;-8973,791141;185085,1253;-126624,5143;0;283,7325466;0,000147532;0;-425150,6042;8,70863E-09;193704,3193;-121037,5589;0;0
2022_45;1414338,94;294424,6431;-580432,1202;236301,7357;0;251873,3024;-132302,9326;0;296,4564025;3,08297E-05;0;-408191,7561;42518,43998;308620,5169;-152466,6534;0;0
2022_46;1176602,601;244934,7828;-484156,7997;196581,7592;0;213690,3439;-110064,1227;0;246,6250235;5,1295E-06;0;-339167,6552;82083,25495;302355,2656;-130700,7805;0;0
2022_47;1101681,974;231481,8156;-455235,7219;184360,7394;0;378661,6896;-103221,6983;1748583,666;231,2929331;9,62122E-07;0;-319353,5465;311836,5033;125169,7255;-126691,65;0;0
2022_48;1266197,282;258658,9778;-522003,6469;207798,6187;0;137888,1304;-118063,7023;0;281,1661572;2,20093E-07;0;-376653,636;8,11985E-09;60872,82659;-100441,9403;0;0
2022_49;1423994,761;321368,4676;-598947,7467;237848,037;0;189701,021;-135136,7011;0;321,8251353;5,0384E-08;0;-480786,6401;41994,62111;39571,54374;-98708,88137;0;0
2022_50;1619966,135;371898,8404;-685153,8582;271439,8737;0;218746,4512;-154222,3747;0;364,6081562;13273,82517;0;-547946,3199;96769,87979;32534,68158;-103330,7605;0;0
2022_51;1705516,421;394856,9147;-724129,6943;286226,7674;0;199766,7635;-162623,7559;0;398,6677897;68857,21544;0;-576256,3158;1,11845E-08;31505,575;-110526,0202;0;0
2022_52;1275658,505;394198,657;-622381,2873;243652,7423;0;159899,9195;-139465,2574;0;552,4105196;104901,0795;0;-473190,3273;9,59175E-09;44831,01;-81496,90492;0;0
2023_01;1639998,245;323985,2866;-631662,1179;246760,1856;0;272075,935;-141243,9378;0;643,9186371;70309,23172;0;-632205,0376;2301,436503;52422,13625;-69720,36271;0;0
2023_02;1308337,215;277448,9425;-550222,0128;212908,1712;0;196670,3004;-122781,2678;0;557,4009332;25616,14287;0;-502438,8114;60391,22568;42575,45802;-199568,3795;0;0
2023_03;1197215,893;251555,0903;-503674,6936;194512,4688;0;155476,5377;-112172,7146;0;517,1315162;16915,82904;0;-433281,4118;7,7147E-09;25660,55273;-170194,991;0;0
2023_04;1116041,273;234498,9445;-470414,9216;181323,974;0;124695,7806;-104567,0876;0;489,630342;9412,973853;0;-414017,8569;7,19162E-09;8718,058571;-137569,4208;0;0
2023_05;1047327,115;218023,3489;-441572,8625;212357,962;0;105356,9024;-97971,17563;0;473,4680601;7628,220844;0;-387450,2171;6,73799E-09;5516,54033;-95283,34287;0;0
2023_06;1125551,939;232117,715;-474663,6083;227851,468;0;149422,085;-105119,0922;0;549,1132188;19416,68187;0;-445791,9385;7,22959E-09;7934,96716;-64403,45737;0;0
2023_07;1242977,665;256333,9153;-525129,2701;251622,5826;0;167869,8056;-116085,8769;0;616,4751018;23923,11168;0;-495609,8629;7,98383E-09;32384,6277;-41381,49273;0;0
2023_08;1477341,855;315658,229;-652916,2136;312303,0212;0;196487,2082;-144080,7486;0;775,2515128;12729,67167;0;-604057,7388;68203,46809;176581,1441;-41582,17699;0;0
2023_09;1172056,44;239427,872;-496091,4893;236882,9351;0;126900,2611;-109285,7523;0;588,5827027;12587,05657;0;-440622,1877;7,51615E-09;244155,4221;-51099,75215;0;0
2023_10;1443776,391;294934,8658;-612127,5396;291799,9317;0;140913,0243;-134621,6647;0;728,9549917;9882,018383;0;-548426,6098;9,25863E-09;370493,2859;-81052,22115;0;0
2023_11;1178622,786;240769,2463;-500526,9522;238210,0516;0;109322,8413;-109898,0165;0;595,0803524;1613,431569;0;-451362,0506;7,55826E-09;262851,7367;-69735,64478;0;0
2023_12;1301560,622;270947,4448;-555405,8876;263906,8131;0;110161,4352;-121753,1968;0;717,9737441;19078,25624;0;-505789,7731;8,3736E-09;234567,5739;-75260,76984;0;0
2023_13;1202846,94;271459,6207;-521530,4207;247426,1049;0;94211,81882;-114149,8353;0;706,0631979;86598,47064;0;-465427,8395;7,85068E-09;230514,0144;-60084,38254;0;0
2023_14;1358372,738;306558,8281;-589853,5001;279417,8248;0;106749,6871;-128909,1896;0;1117,851137;123355,566;0;-507120,1835;8,86575E-09;292323,7;-96714,4798;0;0
2023_15;1688811,999;384418,2956;-735584,9521;347940,7269;0;125650,2008;-160522,1756;0;1401,012224;67906,46873;0;-633140,4592;1,10399E-08;188411,8322;-111441,6554;0;0
2023_16;1835593,355;424972,0023;-803195,7076;379380,3107;0;135713,2932;-175026,8024;0;1507,814206;50465,73774;0;-692810,4377;1,20375E-08;289630,8559;-152846,3939;0;0
2023_17;1759940,919;421910,4586;-787795,317;371592,0091;0;160283,4042;-171433,6757;0;1508,762074;44811,18879;0;-672732,1365;20246,21853;571042,1054;-175373,4216;0;0
2023_18;1917820,351;464017,8108;-867579,9752;408677,498;0;163326,2278;-188543,0363;0;1672,854385;9856,683711;0;-694621,8138;41410,58042;507691,5554;-229734,8145;0;0
